Cryptocurrency,Amount,Transaction Type,Confirmed At
USDC,100.00000000,Deposit,2020-12-17 10:48:50
BTC,0.00001590,Bonus Payment,2020-12-15 23:59:59
USDC,-10.00000000,Trade,2020-12-15 22:51:00
ETH,0.01683717,Trade,2020-12-15 22:51:00
USDC,-10.00000000,Trade,2020-12-15 21:05:13
LTC,0.11999746,Trade,2020-12-15 21:05:13
PAX,-10.00000000,Trade,2020-12-15 15:22:35
BTC,0.00051062,Trade,2020-12-15 15:22:35
GUSD,-10.00000000,Trade,2020-12-07 06:18:16
PAXG,0.00535429,Trade,2020-12-07 06:18:16
BTC,-0.01500000,Withdrawal,2020-12-02 20:30:49
PAX,-10.00000000,Trade,2020-12-01 20:29:49
BTC,0.00052132,Trade,2020-12-01 20:29:49
USDT,-160.00000000,Withdrawal,2020-12-01 17:10:17
USDT,7.43827896,Interest Payment,2020-12-01 04:59:59
LTC,-0.00250000,Withdrawal Fee,2020-11-30 19:37:01
LTC,-2.00000000,Withdrawal,2020-11-30 19:37:01
ETH,-0.00150000,Withdrawal Fee,2020-11-30 19:35:25
ETH,-0.30000000,Withdrawal,2020-11-30 19:35:25
USDC,-10.00000000,Trade,2020-11-16 00:47:32
ETH,0.02203452,Trade,2020-11-16 00:47:32
GUSD,-10.00000000,Trade,2020-11-15 20:42:02
PAXG,0.00521269,Trade,2020-11-15 20:42:02
USDC,-10.00000000,Trade,2020-11-15 16:45:35
LTC,0.15811227,Trade,2020-11-15 16:45:35
PAX,-10.00000000,Trade,2020-11-15 16:27:31
BTC,0.00061928,Trade,2020-11-15 16:27:31
PAX,-50.69000000,Trade,2020-11-14 10:53:41
USDT,50.34136000,Trade,2020-11-14 10:53:41
USDC,-10.00000000,Trade,2020-11-14 10:52:28
GUSD,10.00000000,Trade,2020-11-14 10:52:28
USDC,-3.52000000,Trade,2020-11-14 10:51:28
USDT,3.49582500,Trade,2020-11-14 10:51:28
USDC,-60.00000000,Trade,2020-11-14 10:50:32
PAX,60.00000000,Trade,2020-11-14 10:50:32
USDC,50.00000000,Deposit,2020-11-14 10:42:16
PAXG,-0.03100000,Withdrawal,2020-11-06 17:00:41
USDC,-50.34174900,Trade,2020-11-03 06:02:45
USDT,50.00000000,Trade,2020-11-03 06:02:45
PAX,-10.00000000,Trade,2020-11-01 15:38:57
BTC,0.00071590,Trade,2020-11-01 15:38:57
PAX,5.84721438,Interest Payment,2020-11-01 03:59:59
USDT,50.00000000,Deposit,2020-10-31 11:16:16
GUSD,-10.00000000,Trade,2020-10-15 23:48:34
PAXG,0.00513705,Trade,2020-10-15 23:48:34
USDC,-10.00000000,Trade,2020-10-15 17:06:07
ETH,0.02633452,Trade,2020-10-15 17:06:07
PAX,-10.00000000,Trade,2020-10-15 14:53:31
BTC,0.00086968,Trade,2020-10-15 14:53:31
USDC,-10.00000000,Trade,2020-10-15 14:29:31
LTC,0.19909491,Trade,2020-10-15 14:29:31
PAX,-10.00000000,Trade,2020-10-10 05:49:05
BTC,0.00087048,Trade,2020-10-10 05:49:05
PAX,-10.00000000,Trade,2020-10-01 15:11:59
BTC,0.00091139,Trade,2020-10-01 15:11:59
PAX,4.91611900,Interest Payment,2020-10-01 03:59:59
PAXG,0.04219074,Deposit,2020-09-27 08:39:50
GUSD,-70.00000000,Trade,2020-09-19 05:40:05
USDC,70.00000000,Trade,2020-09-19 05:40:05
PAX,-10.00000000,Trade,2020-09-18 15:11:51
BTC,0.00090542,Trade,2020-09-18 15:11:51
USDC,-10.00000000,Trade,2020-09-15 18:57:30
BTC,0.00091975,Trade,2020-09-15 18:57:30
USDC,-10.00000000,Trade,2020-09-15 18:01:11
ETH,0.02688149,Trade,2020-09-15 18:01:11
GUSD,-10.00000000,Trade,2020-09-15 17:44:30
PAXG,0.00505068,Trade,2020-09-15 17:44:30
USDC,-10.00000000,Trade,2020-09-15 15:37:30
LTC,0.20320842,Trade,2020-09-15 15:37:30
USDT,-50.24503400,Trade,2020-09-04 05:25:23
PAX,50.00000000,Trade,2020-09-04 05:25:23
GUSD,-10.00000000,Trade,2020-09-04 05:22:59
PAXG,0.00509422,Trade,2020-09-04 05:22:59
USDT,50.00000000,Deposit,2020-09-04 05:13:51
PAX,-10.07529120,Trade,2020-09-04 03:40:40
USDT,10.00000000,Trade,2020-09-04 03:40:40
PAX,-10.00000000,Trade,2020-09-04 03:38:25
PAXG,0.00509521,Trade,2020-09-04 03:38:25
GUSD,-60.00000000,Trade,2020-09-02 03:46:35
USDC,60.00000000,Trade,2020-09-02 03:46:35
LTC,-0.16154880,Trade,2020-09-02 03:40:41
GUSD,10.00000000,Trade,2020-09-02 03:40:41
GUSD,-10.00000000,Trade,2020-09-02 03:38:38
LTC,0.15901002,Trade,2020-09-02 03:38:38
GUSD,-10.00000000,Trade,2020-09-01 17:12:19
LTC,0.15566664,Trade,2020-09-01 17:12:19
GUSD,-10.00000000,Trade,2020-09-01 17:11:29
ETH,0.02079035,Trade,2020-09-01 17:11:29
GUSD,-10.00000000,Trade,2020-09-01 17:10:07
BTC,0.00082839,Trade,2020-09-01 17:10:07
USDC,-5.00000000,Trade,2020-09-01 15:05:36
PAX,5.00000000,Trade,2020-09-01 15:05:36
USDC,5.74702462,Interest Payment,2020-09-01 03:59:59
USDC,-0.25000000,Withdrawal Fee,2020-08-28 17:53:20
USDC,-100.00000000,Withdrawal,2020-08-28 17:53:20
GUSD,-100.00000000,Trade,2020-08-27 10:12:38
USDC,100.00000000,Trade,2020-08-27 10:12:38
USDC,-10.00000000,Trade,2020-08-15 20:34:17
BTC,0.00083580,Trade,2020-08-15 20:34:17
USDC,-10.00000000,Trade,2020-08-15 19:06:10
ETH,0.02276034,Trade,2020-08-15 19:06:10
USDC,-10.00000000,Trade,2020-08-15 16:38:11
LTC,0.16664934,Trade,2020-08-15 16:38:11
ETH,-0.22393859,Trade,2020-08-14 04:27:48
BTC,0.00800000,Trade,2020-08-14 04:27:48
BTC,0.00106403,Deposit,2020-08-12 12:06:22
USDC,-4.00000000,Trade,2020-08-12 10:56:52
PAX,4.00000000,Trade,2020-08-12 10:56:52
USDC,-50.00000000,Trade,2020-08-12 10:55:39
GUSD,50.00000000,Trade,2020-08-12 10:55:39
USDC,57.00000000,Deposit,2020-08-12 10:27:41
PAX,-15.00000000,Withdrawal,2020-08-03 19:39:33
USDC,-3.00000000,Trade,2020-08-01 20:38:44
PAX,3.00000000,Trade,2020-08-01 20:38:44
USDC,3.94238552,Interest Payment,2020-08-01 03:59:59
USDC,-50.00000000,Trade,2020-07-30 11:48:25
PAX,50.00000000,Trade,2020-07-30 11:48:25
USDC,-50.00000000,Trade,2020-07-30 11:48:00
GUSD,50.00000000,Trade,2020-07-30 11:48:00
USDC,199.08000000,Deposit,2020-07-30 11:41:43
USDC,-10.00000000,Trade,2020-07-30 08:07:07
LTC,0.18116572,Trade,2020-07-30 08:07:07
USDC,-10.00000000,Trade,2020-07-30 08:06:24
ETH,0.03112046,Trade,2020-07-30 08:06:24
PAX,-20.00000000,Trade,2020-07-30 08:06:01
USDC,20.00000000,Trade,2020-07-30 08:06:01
USDC,-10.00000000,Trade,2020-07-30 06:51:28
BTC,0.00090183,Trade,2020-07-30 06:51:28
PAX,-10.00000000,Trade,2020-07-30 06:50:48
USDC,10.00000000,Trade,2020-07-30 06:50:48
BTC,0.00110819,Deposit,2020-07-06 01:52:56
ETH,0.04448399,Deposit,2020-07-05 13:25:03
USDC,-13.00000000,Trade,2020-07-01 16:03:49
PAX,13.00000000,Trade,2020-07-01 16:03:49
USDC,4.31129832,Interest Payment,2020-07-01 03:59:59
PAX,-200.00000000,Withdrawal,2020-06-29 17:01:37
GUSD,-100.00000000,Trade,2020-06-26 04:04:18
PAX,100.00000000,Trade,2020-06-26 04:04:18
BTC,0.00109189,Deposit,2020-06-22 13:47:58
ETH,0.04386698,Deposit,2020-06-22 13:00:52
BTC,0.00107527,Deposit,2020-06-22 02:22:26
ETH,0.04347826,Deposit,2020-06-20 06:03:39
USDC,-30.00000000,Trade,2020-06-11 13:48:48
PAX,30.00000000,Trade,2020-06-11 13:48:48
