,Token,Amount,Type,Date
276,USDC,-50.0,Trade,2020-07-30 11:48:00
277,GUSD,50.0,Trade,2020-07-30 11:48:00
278,USDC,199.08,Deposit,2020-07-30 11:41:43
279,USDC,-10.0,Trade,2020-07-30 08:07:07
280,LTC,0.18116572,Trade,2020-07-30 08:07:07
281,USDC,-10.0,Trade,2020-07-30 08:06:24
282,ETH,0.03112046,Trade,2020-07-30 08:06:24
283,PAX,-20.0,Trade,2020-07-30 08:06:01
284,USDC,20.0,Trade,2020-07-30 08:06:01
285,USDC,-10.0,Trade,2020-07-30 06:51:28
286,BTC,0.00090183,Trade,2020-07-30 06:51:28
287,PAX,-10.0,Trade,2020-07-30 06:50:48
288,USDC,10.0,Trade,2020-07-30 06:50:48
289,BTC,0.00110819,Deposit,2020-07-06 01:52:56
290,ETH,0.04448399,Deposit,2020-07-05 13:25:03
291,USDC,-13.0,Trade,2020-07-01 16:03:49
292,PAX,13.0,Trade,2020-07-01 16:03:49
293,USDC,4.31129832,Interest Payment,2020-07-01 03:59:59
294,PAX,-200.0,Withdrawal,2020-06-29 17:01:37
295,GUSD,-100.0,Trade,2020-06-26 04:04:18
296,PAX,100.0,Trade,2020-06-26 04:04:18
297,BTC,0.00109189,Deposit,2020-06-22 13:47:58
298,ETH,0.04386698,Deposit,2020-06-22 13:00:52
299,BTC,0.00107527,Deposit,2020-06-22 02:22:26
300,ETH,0.04347826,Deposit,2020-06-20 06:03:39
301,USDC,-30.0,Trade,2020-06-11 13:48:48
302,PAX,30.0,Trade,2020-06-11 13:48:48
303,USDC,-15.0,Trade,2020-06-11 13:48:13
304,GUSD,15.0,Trade,2020-06-11 13:48:13
305,USDC,-10.948704,Trade,2020-06-11 13:47:22
306,LTC,0.24,Trade,2020-06-11 13:47:22
307,USDC,-10.888254,Trade,2020-06-11 13:46:52
308,ETH,0.045,Trade,2020-06-11 13:46:52
309,USDC,-10.665798,Trade,2020-06-11 13:46:15
310,BTC,0.0011,Trade,2020-06-11 13:46:15
311,USDC,78.0,Deposit,2020-06-11 13:38:08
312,USDC,3.88241463,Interest Payment,2020-06-01 03:59:59
313,USDC,-35.0,Trade,2020-05-29 17:42:42
314,GUSD,35.0,Trade,2020-05-29 17:42:42
315,USDC,36.0,Deposit,2020-05-29 17:26:34
316,BTC,0.00117647,Deposit,2020-05-28 14:33:06
317,ETH,0.0488878,Deposit,2020-05-28 13:32:29
318,USDC,2.89018672,Interest Payment,2020-05-01 03:59:59
319,USDC,-39.0,Trade,2020-04-30 16:53:02
320,PAX,39.0,Trade,2020-04-30 16:53:02
321,USDC,-40.0,Trade,2020-04-30 16:50:55
322,GUSD,40.0,Trade,2020-04-30 16:50:55
323,USDC,-10.359921,Trade,2020-04-30 16:48:11
324,LTC,0.22,Trade,2020-04-30 16:48:11
325,USDC,-10.4064675,Trade,2020-04-30 16:47:35
326,ETH,0.05,Trade,2020-04-30 16:47:35
327,USDC,-10.477194,Trade,2020-04-30 16:47:06
328,BTC,0.0012,Trade,2020-04-30 16:47:06
329,USDC,103.0,Deposit,2020-04-30 16:41:07
330,USDC,-51.0,Trade,2020-04-16 13:39:39
331,PAX,51.0,Trade,2020-04-16 13:39:39
332,USDC,51.0,Deposit,2020-04-16 13:08:57
333,BTC,0.00144197,Deposit,2020-04-10 05:34:37
334,USDC,2.19794597,Interest Payment,2020-04-01 03:59:59
335,USDC,-30.22670025,Trade,2020-03-24 07:10:40
336,PAX,30.0,Trade,2020-03-24 07:10:40
337,USDC,-60.0,Trade,2020-03-13 12:31:27
338,GUSD,60.0,Trade,2020-03-13 12:31:27
